16, 93.9271255060729, pelkos1
17.638225255972696, 71.38771054704233, pelkos1
19.139931740614333, 33.452626051871604, pelkos1
20.55631399317406, 12.109822995398716, pelkos1
16, 96.76113360323889, pelkos2
17.638225255972696, 93.65491702477513, pelkos2
19.156996587030715, 64.62809688963813, pelkos2
20.55631399317406, 14.134114493374426, pelkos2
16, 98.38056680161945, pelkos3
17.655290102389078, 88.79799919857403, pelkos3
19.156996587030715, 42.765748711500464, pelkos3
20.55631399317406, 6.036948501471585, pelkos3
16, 97.57085020242917, pelkos4
17.655290102389078, 91.63200729574002, pelkos4
19.139931740614333, 51.26639123405785, pelkos4
20.55631399317406, 13.324397894184145, pelkos4
