11.997035274186718, 86.99957646774095, Sagamihara
12.502571445858461, 79.64322449226549, Sagamihara
12.998117634404265, 9.999731090629169, Sagamihara
13.496480648609403, 0.21378294980134172, Sagamihara
14.000006722734271, 0.14285810324774673, Sagamihara
11.99999327726573, 99.85714189675225, Tatsuno
12.500137816052545, 77.92859111657894, Tatsuno
13.001142864825983, 74.285877552118, Tatsuno
13.499842015744644, 21.642834573677803, Tatsuno
14, 0, Tatsuno
12.006910970830056, 96.85813013869002, Ninohe
12.501152948927388, 99.50016470698962, Ninohe
13.006588279585074, 90.00094118279787, Ninohe
13.505280707769465, 37.21504010110992, Ninohe
14.004934486954536, 4.857847783850659, Ninohe
