line-ID	pops_with_Dia	n_dls	genus	species	order	pop	degN	degE	perc	n2	dl2	py	cdl	slope							
5-Yongxiu	5	6	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	43.491549514	71.5	12	2013	x	x							
5-Yongxiu	5	6	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	31.9938658502	71.5	13	2013	x	x							
5-Yongxiu	5	6	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	5.6694932914	71.5	14	2013	x	x							
5-Yongxiu	5	6	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	-0.1839176271	71.5	15	2013	x	x							
5-Yongxiu	5	6	Helicoverpa	armigera	lepidoptera	Yongxiu	29.04	116.82	0.1302705331	71.5	16	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	96.4567269929	71.5	11	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	84.828772796	71.5	12	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	80.6823440147	71.5	13	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	10.7872337015	71.5	14	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	2.1789055779	71.5	15	2013	x	x							
5-Taian	5	6	Helicoverpa	armigera	lepidoptera	Taian	36.15	116.59	0.5258911349	71.5	16	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	96.8497827934	71.5	11	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	96.6400034197	71.5	12	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	96.6914063126	71.5	13	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	65.7732608777	71.5	14	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	10.1840779272	71.5	15	2013	x	x							
5-Langfang	5	6	Helicoverpa	armigera	lepidoptera	Langfang	39.31	116.42	0.1305911333	71.5	16	2013	x	x							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	98.1617855292	71.5	11	2013	x	n							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	98.871273691	71.5	12	2013	x	n							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	98.0043708489	71.5	13	2013	x	n							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	44.777049303	71.5	14	2013	x	n							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	-0.051723493	71.5	15	2013	x	n							
5-Kazuo	5	6	Helicoverpa	armigera	lepidoptera	Kazuo	41.34	120.27	0.2618234669	71.5	16	2013	x	n							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	-1.3441618258	110	16	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	-1.4578985957	110	14	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	11.3464177617	110	13.5	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	33.2186565902	110	13	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	44.0057902356	110	12.5	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	46.0793713459	110	12	1984	x	x							
6-KO	10	7	Drosophila	auraria	diptera	KO	44.774361	142.254389	51.6759724024	110	10	1984	x	x							
6-SP	10	5	Drosophila	auraria	diptera	SP	43.06861	141.35078	-1.3441618258	110	16	1984	x	x							
6-SP	10	5	Drosophila	auraria	diptera	SP	43.06861	141.35078	-1.4578985957	110	14	1984	x	x							
6-SP	10	5	Drosophila	auraria	diptera	SP	43.06861	141.35078	11.3464177617	110	13.5	1984	x	x							
6-SP	10	5	Drosophila	auraria	diptera	SP	43.06861	141.35078	49.4369559904	110	12	1984	x	x							
6-SP	10	5	Drosophila	auraria	diptera	SP	43.06861	141.35078	61.4093959732	110	10	1984	x	x							
