"popid"	"lower_b"	"med_b"	"upper_b"	"order"	"lower_w"	"med_w"	"upper_w"	"order.x"	"order.y"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"19"	"bradshaw.WI.Wyeomyia.smithii"	0.199312311913272	0.217592297400297	0.23042058782515	"Diptera"	0.0197753408123494	0.0325900181258105	0.0504318175760346	"Diptera"	"Diptera"	12.0534207523216	12.1153444401669	12.1778579613767	"bradshaw"	2003	"16"	"US"	"Wyeomyia"	"smithii"	"global average"	30.1	0	16
"20"	"chen.GZ.Helicoverpa.armigera"	0.00298894284804139	0.0059551609955238	0.010970069054285	"Lepidoptera"	0.0530511783678952	0.0692297667372261	0.0872854481407897	"Lepidoptera"	"Lepidoptera"	13.0589905655593	13.4855616267051	13.9324292299959	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	23.08	113.14	6
"21"	"chen.KZ.Helicoverpa.armigera"	0.21590371663458	0.231359122326999	0.241546351618328	"Lepidoptera"	0.00867328844698564	0.0187360121490029	0.0339536142725923	"Lepidoptera"	"Lepidoptera"	13.913638732014	13.9930532950062	14.0238638330416	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	41.34	120.27	6
"22"	"chen.LF.Helicoverpa.armigera"	0.182361296844798	0.208858692233684	0.224784838166228	"Lepidoptera"	0.0253132163953918	0.0410723719050617	0.0675132542467041	"Lepidoptera"	"Lepidoptera"	14.0146439286376	14.1963560119992	14.3758014630578	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	39.31	116.42	6
"23"	"chen.TA.Helicoverpa.armigera"	0.159558337700094	0.184328442188445	0.206606329133404	"Lepidoptera"	0.0427715733631272	0.0631668452658165	0.0859273930392681	"Lepidoptera"	"Lepidoptera"	13.2190189194844	13.5778523634129	13.9670489795079	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	36.15	116.59	6
"24"	"chen.YX.Helicoverpa.armigera"	0.0609789821434785	0.110354445734592	0.1943003071721	"Lepidoptera"	0.055435359095389	0.118690739259919	0.138393118586227	"Lepidoptera"	"Lepidoptera"	11.9204170631493	12.6319947786621	13.2628874832787	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	29.04	116.82	6
"25"	"fimmuro.Iwate.Haplothrips.brevitubus"	0.0487294365156166	0.106512211000319	0.201908675071664	"Thysanoptera"	0.0474636595862511	0.12253873031356	0.178384795098696	"Thysanoptera"	"Thysanoptera"	14.0384413738457	14.6389198066332	14.9969443452535	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11
"26"	"fimmuro.Kagoshima.Haplothrips.brevitubus"	0.00239072234062969	0.00792469804332637	0.0189189209591322	"Thysanoptera"	0.058121690364376	0.0845013645554437	0.11753700450435	"Thysanoptera"	"Thysanoptera"	12.2424935903975	13.3303103851656	13.9558161394226	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20
"27"	"fimmuro.Kyoto.Haplothrips.brevitubus"	0.10755449862834	0.163787156316317	0.207989894546933	"Thysanoptera"	0.0417667400220938	0.0852755391079275	0.139604040179836	"Thysanoptera"	"Thysanoptera"	14.0357758422988	14.4598354330038	14.9516692217249	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	35.474781	135.386039	17
"28"	"gomi. Fukui.Hyphantria.cunea"	0.175466200547769	0.198525541216513	0.220535917132089	"Lepidoptera"	0.0292018483004747	0.0499038683814223	0.0709581660302008	"Lepidoptera"	"Lepidoptera"	14.1338835849759	14.1616192823612	14.1893075281471	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.064167	136.219722	4
