"row"	"set"	"popid"	"ID"	"PY"	"region"	"pops_left"	"genus"	"spec"	"order"	"pop"	"degN"	"degE"	"nmethod"	"perc"	"n2"	"dl2"	"number"	"nslop"	"inc2"	"b"	"bse"	"c"	"cse"	"d"	"dse"	"e"	"ese"	"invvar_b"	"invvar_e"
"b:hashimoto-Naze-Pieris-rapae"	"newsearch"	"hashimoto-Naze-Pieris-rapae"	"hashimoto"	2008	"japan"	6	"Pieris"	"rapae"	"Lepidoptera"	"Naze"	28.377247	129.493742	"global average"	0	38	14	3	"x"	0	33.0849991370361	1.59980204945464	0	0.000916599168413121	0.983008840787675	0.00152980961842507	11.1757269781786	0.0192231053760586	0.303429886547167	2706.15648758725
"b:hashimoto-Sendai-Pieris-rapae"	"newsearch"	"hashimoto-Sendai-Pieris-rapae"	"hashimoto"	2008	"japan"	6	"Pieris"	"rapae"	"Lepidoptera"	"Sendai"	38.25	140.869444	"global average"	0.545366433	38	14	2	"n"	0	75.1636488362199	5.92089453875326	0	0.000916599168413121	0.983008840787675	0.00152980961842507	13.206289169263	0.017027759832744	0.028524980010662	3448.93466898742
"b:ito-HA-Orius-sauteri"	"newsearch"	"ito-HA-Orius-sauteri"	"ito"	2000	"japan"	4	"Orius"	"sauteri"	"Hemiptera"	"HA"	39.388611	141.116944	"accurate"	4.2610695802	25	16	3	"x"	1	79.1392067916896	7.27247321836846	0.0341024534927821	0.0256253094464583	0.967466873039683	0.00126278251424193	13.3383859446022	0.0154523716686177	0.0189075709534017	3514.63457191149
"b:ito-MO-Orius-sauteri"	"newsearch"	"ito-MO-Orius-sauteri"	"ito"	2000	"japan"	4	"Orius"	"sauteri"	"Hemiptera"	"MO"	42.1	140.583333	"accurate"	3.2602917725	41	16	3	"x"	1	112.762142863908	2.81026741793539	0.00941624607113919	0.00623106163504034	0.967466873039683	0.00126278251424193	14.1801357073593	0.00546229701357817	0.126620698080882	3514.63457191149
"b:ito-TU-Orius-sauteri"	"newsearch"	"ito-TU-Orius-sauteri"	"ito"	2000	"japan"	4	"Orius"	"sauteri"	"Hemiptera"	"TU"	36.080556	140.114722	"accurate"	12.1546961326	50	16	4	"x"	6	38.5191363302397	1.9727350002575	0.130161194356092	0.00870381844502521	0.967466873039683	0.00126278251424193	12.9059815772551	0.0181768904083223	0.256958211148494	3026.64038348428
"b:kimura_geogr_1-IW-Drosophila-auraria"	"newsearch"	"kimura_geogr_1-IW-Drosophila-auraria"	"kimura_geogr_1"	1984	"japan"	5	"Drosophila"	"auraria"	"Diptera"	"IW"	38.104278	140.87016	"global average"	54.3605361608	110	10	2	"n"	59	43.6059981547202	9.30840077550364	0	0.0004328802248667	0.521599294120812	0.0233887333077091	11.6969228124026	0.116093451874005	0.0115411703846648	74.1966933540796
"b:kimura_geogr_1-KO-Drosophila-auraria"	"newsearch"	"kimura_geogr_1-KO-Drosophila-auraria"	"kimura_geogr_1"	1984	"japan"	5	"Drosophila"	"auraria"	"Diptera"	"KO"	44.774361	142.254389	"global average"	51.6759724024	110	10	4	"n"	56	65.2801813071348	11.995651046838	0	0.0004328802248667	0.468943346156571	0.0198910331735595	13.2034880837303	0.051517615923594	0.00694948069268417	376.780558888057
"b:kimura_geogr_1-OI-Drosophila-auraria"	"newsearch"	"kimura_geogr_1-OI-Drosophila-auraria"	"kimura_geogr_1"	1984	"japan"	5	"Drosophila"	"auraria"	"Diptera"	"OI"	33.233333	131.606667	"global average"	19.1275167785	110	10	2	"n"	21	69.1888112614635	4.8220841452707	0	0.0004328802248667	0.189900001154246	0.00149291455071737	11.5926094428311	0.0110384851127153	0.0430061366886371	3514.63457191149
"b:kimura_geogr_1-ON-Drosophila-auraria"	"newsearch"	"kimura_geogr_1-ON-Drosophila-auraria"	"kimura_geogr_1"	1984	"japan"	5	"Drosophila"	"auraria"	"Diptera"	"ON"	41.972	140.6691	"global average"	77.5148985769	110	10	3	"n"	85	47.381768698626	2.6723977960941	0	0.0004328802248667	0.781777131428724	0.00996511882999	12.4557292426301	0.0320495272974762	0.140022487992488	973.546597160737
"b:kimura_geogr_1-TS-Drosophila-auraria"	"newsearch"	"kimura_geogr_1-TS-Drosophila-auraria"	"kimura_geogr_1"	1984	"japan"	5	"Drosophila"	"auraria"	"Diptera"	"TS"	36.321889	139.003278	"global average"	41.6144981483	110	10	2	"n"	45	42.0999474297614	8.04911765546767	0	0.0004328802248667	0.402852178972546	0.0098631589150257	11.495510779253	0.0911785372249349	0.0154348868034396	120.285910219379
