row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:pegoraro-BOL-Drosophila-melanogaster	newsearch	pegoraro-BOL-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	BOL	46.3	11.22	accurate	36.8149851249	6	18	2	3.6937216087	2.1708769346	0.2417233681	0.013315039	0.6457479765	0.0271080669	11.8102545971	1.8474848101	y
b:pegoraro-HU-Drosophila-melanogaster	newsearch	pegoraro-HU-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	HU	52.03	5.17	accurate	11.9721835653	6	18	1	75.8509392378	6.7732855119	0.2417233681	0.013315039	0.6457479765	0.0271080669	15.7434634347	0.0434910516	y
b:pegoraro-KOR-Drosophila-melanogaster	newsearch	pegoraro-KOR-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	KOR	62.01	25.33	accurate	37.44391681	6	18	2	43.0818334567	49.5912991582	0.2417233681	0.013315039	0.6457479765	0.0271080669	13.6119055192	0.4176622137	y
b:pegoraro-MREN-Drosophila-melanogaster	newsearch	pegoraro-MREN-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	MREN	39.2	16.11	accurate	17.317827041	6	18	1	69.0270597933	9.1795474994	0.2417233681	0.013315039	0.6457479765	0.0271080669	10.8407365379	0.1472232352	y
b:pegoraro-SAL-Drosophila-melanogaster	newsearch	pegoraro-SAL-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	SAL	40.38	17.97	accurate	17.4751978859	6	18	1	6.3684918177	2.4152143837	0.2417233681	0.013315039	0.6457479765	0.0271080669	10.0045057948	1.0674517042	y
b:pegoraro-Sp22-Drosophila-melanogaster	newsearch	pegoraro-Sp22-Drosophila-melanogaster	pegoraro	2017	Europe	6	Drosophila	melanogaster	diptera	Sp22	36.97	-2.12	accurate	64.4878413437	6	18	4	0.8248389307	0.7197255452	0.2417233681	0.013315039	0.6457479765	0.0271080669	193.6193224938	170.6135763833	n
b:pullin-obernai-Inachis-io	newsearch	pullin-obernai-Inachis-io	pullin	1986	Europe	3	Inachis	io	lepidoptera	obernai	48.462222	7.481944	global average	16.7088105508	94	23	16	32.7964081003	10.4701965657	0.075355425	0.0387466781	0.9959125279	0.0001425272	15.2229246322	0.2300442438	y
b:pullin-oxford-Inachis-io	newsearch	pullin-oxford-Inachis-io	pullin	1986	Europe	3	Inachis	io	lepidoptera	oxford	51.752	-1.2578	global average	25.3701460752	94	23	24	123.2032635871	8.6242062926	0.2322823062	0.019200214	0.9959125279	0.0001425272	18.580236301	0.0126140204	y
b:pullin-southampton-Inachis-io	newsearch	pullin-southampton-Inachis-io	pullin	1986	Europe	3	Inachis	io	lepidoptera	southampton	50.9069	-1.4047	global average	35.448791049	94	23	33	132.5430789642	14.6455314555	0.3569403049	0.0176640686	0.9959125279	0.0001425272	17.3251894736	0.0388555002	y
b:riihima-Kuusamo3-Chymomyza-costata	newsearch	riihima-Kuusamo3-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Kuusamo3	65.966667	29.166667	global average	85.7798165138	221	24	190	80.0664056939	33.0119763672	0.8434833958	0.015812974	0.9970120613	0.0001331466	20.3428585356	0.1940977447	y
b:riihima-Kuusamo4-Chymomyza-costata	newsearch	riihima-Kuusamo4-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Kuusamo4	65.966667	29.166667	global average	55.9633027523	221	24	124	66.1242888578	9.0407593504	0.5609148644	0.0064128427	0.9970120613	0.0001331466	19.6764524939	0.0246080766	y
b:riihima-Kuusamo5-Chymomyza-costata	newsearch	riihima-Kuusamo5-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Kuusamo5	65.966667	29.166667	global average	85.9327217125	221	24	190	23.2071653996	3.121979737	0.8581234609	0.0035310484	0.9970120613	0.0001331466	19.5902479964	0.1307919973	y
b:riihima-Oulo1-Chymomyza-costata	newsearch	riihima-Oulo1-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Oulo1	65.013333	25.4725	global average	47.476340694	443	24	210	101.0498009715	6.3644592107	0.3882461675	0.0606618238	0.9970120613	0.0001331466	19.7661910914	0.0287830439	y
b:riihima-Oulo2-Chymomyza-costata	newsearch	riihima-Oulo2-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Oulo2	65.013333	25.4725	global average	36.275590283	443	24	161	55.7698326439	13.5405619467	0.4232713676	0.0431729808	0.9970120613	0.0001331466	19.8059370942	0.0994697201	y
b:riihima-Punkaharju-Chymomyza-costata	newsearch	riihima-Punkaharju-Chymomyza-costata	riihima	1996	Europe	6	Chymomyza	costata	diptera	Punkaharju	61.75	29.4	global average	17.4311926606	221	24	39	85.9830938071	1.6204198683	0.1639771607	0.0075097338	0.9970120613	0.0001331466	18.4807158927	0.0116201602	y
b:shimizu-HRS-Orius-Sauteri	newsearch	shimizu-HRS-Orius-sauteri	shimizu	2001	japan	4	Orius	sauteri	hemiptera	HRS	40.603153	140.463789	global average	24.356092489	75	16	18	26.0747509596	9.9119716334	0.0944065273	0.0066806711	0.9170414064	0.0343171452	12.715266271	0.2516323441	y
b:shimizu-OBH-Orius-Sauteri	newsearch	shimizu-OBH-Orius-sauteri	shimizu	2001	japan	4	Orius	sauteri	hemiptera	OBH	42.923961	143.196156	global average	9.1340298064	75	16	7	35.7624374783	5.1775927799	0.0944065273	0.0066806711	0.6764057095	0.0092114296	13.4736973639	0.074735702	y
b:shimizu-SPR-Orius-Sauteri	newsearch	shimizu-SPR-Orius-sauteri	shimizu	2001	japan	4	Orius	sauteri	hemiptera	SPR	43.061944	141.354167	global average	17.7986829727	75	16	13	30.3999107199	13.885362411	0.0944065273	0.0066806711	0.8746845448	0.0614355119	12.313220793	0.0960836222	y
b:shimizu-TKB-Orius-Sauteri	newsearch	shimizu-TKB-Orius-sauteri	shimizu	2001	japan	4	Orius	sauteri	hemiptera	TKB	36.080556	140.114722	global average	6.8075117371	75	15	5	30.7768243667	6.7477091226	0.0944065273	0.0066806711	0.5423312234	0.104483557	11.3584459455	0.2358808309	y
b:shintani-Hatsukari2-Psacothea-hilaris	newsearch	shintani-Hatsukari2-Psacothea-hilaris	shintani	1999	japan	4	Psacothea	hilaris	coleoptera	Hatsukari2	35.610556	138.94	global average	0	25	15	0	19.326908692	2.3087447391	NA	NA	NA	NA	12.3859229925	0.1188408816	y
b:shintani-Hatsukari-Psacothea-hilaris	newsearch	shintani-Hatsukari-Psacothea-hilaris	shintani	1999	japan	4	Psacothea	hilaris	coleoptera	Hatsukari	35.610556	138.94	global average	1.3888888889	25	15	0	22.9324774968	4.0721456837	NA	NA	NA	NA	11.8485313612	0.0726930952	y
b:shintani-Sagamihara-Psacothea-hilaris	newsearch	shintani-Sagamihara-Psacothea-hilaris	shintani	1999	japan	4	Psacothea	hilaris	coleoptera	Sagamihara	35.571389	139.373333	global average	-1.3209393346	25	15	0	29.6606718555	8.0920603916	NA	NA	NA	NA	12.9095927119	0.2384108005	y
b:shintani-Yokokawa-Psacothea-hilaris	newsearch	shintani-Yokokawa-Psacothea-hilaris	shintani	1999	japan	4	Psacothea	hilaris	coleoptera	Yokokawa	36.324	138.7236	global average	1.3698630137	25	15	0	25.276193602	1.3396709824	NA	NA	NA	NA	12.1935656755	0.0055289833	y
b:shroyer-BURDETTE-Aedes-triseratius	newsearch	shroyer-BURDETTE-Aedes-triseratius	shroyer	1983	us	4	Aedes	triseratius	diptera	BURDETTE	41.613333	-86.2475	global average	2.3255813953	90	24	2	80.365442913	12.1442220203	0.0101484178	0.0024724194	0.9985101632	7.43236828669308E-05	14.3528063714	0.0568008634	y
b:shroyer-KRAMERI-Aedes-triseratius	newsearch	shroyer-KRAMERI-Aedes-triseratius	shroyer	1983	us	4	Aedes	triseratius	diptera	KRAMERI	41.613333	-86.2475	global average	13.6146214716	90	24	12	64.0755031779	13.4828191552	0.1270401407	0.0192719692	0.9985101632	7.43236828669308E-05	14.2137663912	0.0264687217	y
b:shroyer-ORONOIII-Aedes-triseratius	newsearch	shroyer-ORONOIII-Aedes-triseratius	shroyer	1983	us	4	Aedes	triseratius	diptera	ORONOIII	44.883	-68.672	global average	15.9619700012	90	24	14	64.9643728524	5.7546849569	0.1253682688	0.0296904473	0.9985101632	7.43236828669308E-05	15.4238635429	0.0488998324	y
b:shroyer-UNDERCIV-Aedes-triseratius	newsearch	shroyer-UNDERCIV-Aedes-triseratius	shroyer	1983	us	4	Aedes	triseratius	diptera	UNDERCIV	46.154722	-89.385278	global average	28.6406047006	90	24	26	71.3811609467	12.3220349998	0.1483759943	0.0346884813	0.9985101632	7.43236828669308E-05	15.9330779882	0.0282820282	y
b:so-A-Tetranychus-urticae	newsearch	so-A-Tetranychus-urticae	so	1992	japan	3	Tetranychus	urticae	Trombidiformes	A	34.516667	135.85	global average	0.1102315152	40	13.5	0	69.7300460554	21.4507670344	0	0.0006028549	0.8669592873	0.0281315362	12.8872835164	0.0815748689	y
b:so-F-Tetranychus-urticae	newsearch	so-F-Tetranychus-urticae	so	1992	japan	3	Tetranychus	urticae	Trombidiformes	F	34.596667	135.8375	global average	0.2452651213	40	14	0	20.6085184634	6.7139385694	0	0.0006028549	0.9777594105	0.011381043	12.7138518599	0.3679892707	y
b:so-KY-Tetranychus-urticae	newsearch	so-KY-Tetranychus-urticae	so	1992	japan	3	Tetranychus	urticae	Trombidiformes	KY	35.011667	135.768333	global average	0.3684053271	40	14	0	96.1928465087	14.3147477281	0	0.0006028549	0.862595601	0.0795053842	11.1280895881	0.0413448776	y
b:suwa-10-Tetranychus-pueraricola	newsearch	suwa-10-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	10	34.8333333333	138.1666666667	global average	0	240	13	0	99.173293561	3.9893698665	0	0.0003859571	1	3.61850669414005E-05	11.6341681596	0.0062321915	n
b:suwa-14-Tetranychus-pueraricola	newsearch	suwa-14-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	14	34.5166666667	133.5166666667	global average	0	240	13	0	271.6345595173	22.8251060204	0	0.0003859571	1	3.61850669414005E-05	11.6729814374	0.0144851617	n
b:suwa-15-Tetranychus-pueraricola	newsearch	suwa-15-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	15	34.4	133.2	global average	0	240	13	0	128.3108582712	0.1971994419	0	0.0003859571	1	3.61850669414005E-05	11.8710274928	0.0002299512	n
b:suwa-16-Tetranychus-pueraricola	newsearch	suwa-16-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	16	34.4166666667	132.7333333333	global average	0	240	13	0	112.4819380854	0.756887211	0	0.0003859571	1	3.61850669414005E-05	11.2005091337	0.0012204807	n
b:suwa-17-Tetranychus-pueraricola	newsearch	suwa-17-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	17	34.3666666667	132.5166666667	global average	0	240	13	0	37.3533498777	3.8859818947	0	0.0003859571	1	3.61850669414005E-05	10.4834152227	0.0589143159	n
b:suwa-18-Tetranychus-pueraricola	newsearch	suwa-18-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	18	33.9333333333	133.2833333333	global average	0	240	13	0	157.4977849116	0.4651669428	0	0.0003859571	1	3.61850669414005E-05	11.287199985	0.0006584117	n
b:suwa-20-Tetranychus-pueraricola	newsearch	suwa-20-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	20	33.7	133.8833333333	global average	0	240	13	0	101.0991015226	0.9872728392	0	0.0003859571	1	3.61850669414005E-05	11.7789362492	0.0015669148	n
b:suwa-21-Tetranychus-pueraricola	newsearch	suwa-21-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	21	33.6333333333	133.7833333333	global average	0	240	13	0	112.4819380854	0.7568874022	0	0.0003859571	1	3.61850669414005E-05	11.2005091337	0.0012204808	n
b:suwa-22-Tetranychus-pueraricola	newsearch	suwa-22-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	22	33.2	133.1333333333	global average	0	240	13	0	86.5806112338	23.4568674776	0	0.0003859571	1	3.61850669414005E-05	11.4452393094	0.0366729372	n
b:suwa-23-Tetranychus-pueraricola	newsearch	suwa-23-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	23	33.9	133.05	global average	0	240	13	0	98.4374292416	1.1456204884	0	0.0003859571	1	3.61850669414005E-05	11.0373386683	0.0005214459	n
b:suwa-31-Tetranychus-pueraricola	newsearch	suwa-31-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	31	30.4166666667	130.5666666667	global average	0	240	13	0	110.0469427432	3.0907475195	0	0.0003859571	1	3.61850669414005E-05	11.3524609846	0.0041521236	n
b:suwa-5-Tetranychus-pueraricola	newsearch	suwa-5-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	5	36.4	139.3166666667	global average	0	240	13	0	115.757163707	0.9838372856	0	0.0003859571	1	3.61850669414005E-05	11.835355645	0.001504561	n
b:suwa-7-Tetranychus-pueraricola	newsearch	suwa-7-Tetranychus-pueraricola	suwa	2006	japan	13	Tetranychus	pueraricola	Trombidiformes	7	36.5333333333	140.5666666667	global average	0	240	13	0	104.7661542127	0.9403988395	0	0.0003859571	1	3.61850669414005E-05	11.769070237	0.0016036483	n
b:tyukmaeva-Jyväskylä1-Drosophila-montana	newsearch	tyukmaeva-Jyväskylä1-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Jyväskylä1	61.2333333333	25.7333333333	global average	2.0934940163	115	20.5	2	36.3716969705	1.7282906781	0.025994942	0.0077039093	1	0.0021664575	17.2646411132	0.0279549659	y
b:tyukmaeva-Jyväskylä2-Drosophila-montana	newsearch	tyukmaeva-Jyväskylä2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Jyväskylä2	61.2333333333	25.7333333333	global average	5.906044492	115	20.5	7	21.5502036124	2.3737683847	0.025994942	0.0077039093	1	0.0070103862	17.1663935351	0.1400166061	y
b:tyukmaeva-Jyväskylä3-Drosophila-montana	newsearch	tyukmaeva-Jyväskylä3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Jyväskylä3	61.2333333333	25.7333333333	global average	16.0766915243	115	20.5	18	12.4321238635	1.6790027823	0.025994942	0.0077039093	1	0.0385879453	17.0449663486	0.365978107	y
b:tyukmaeva-Jyväskylä4-Drosophila-montana	newsearch	tyukmaeva-Jyväskylä4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Jyväskylä4	61.2333333333	25.7333333333	global average	7.602026368	115	20.5	9	18.6722733836	4.3326980254	0.025994942	0.0077039093	0.9297764913	0.0455601979	16.2685930855	0.1034550337	y
b:tyukmaeva-Lahti1-Drosophila-montana	newsearch	tyukmaeva-Lahti1-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Lahti1	60.9833333333	25.65	global average	3.004291845	115	19	3	41.5921208206	2.8872303738	0.025994942	0.0077039093	1	0.0029357703	17.2556580095	0.0358820389	y
b:tyukmaeva-Lahti2-Drosophila-montana	newsearch	tyukmaeva-Lahti2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Lahti2	60.9833333333	25.65	global average	1.716738197	115	19	2	36.6939273522	1.4673080065	0.025994942	0.0077039093	0.9749072137	0.0034315495	16.2760867727	0.0207333706	y
b:tyukmaeva-Lahti3-Drosophila-montana	newsearch	tyukmaeva-Lahti3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Lahti3	60.9833333333	25.65	global average	0.429184549	115	19	0	51.6840117225	1.2506792728	0.025994942	0.0077039093	0.9649956584	0.0004754413	16.6940167864	0.018758504	y
b:tyukmaeva-Lahti4-Drosophila-montana	newsearch	tyukmaeva-Lahti4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Lahti4	60.9833333333	25.65	global average	5.150214592	115	19	6	38.2629507858	2.6189876241	0.025994942	0.0077039093	0.9141279507	0.0072640873	16.5476661968	0.0277600577	y
b:tyukmaeva-Oulanka2-Drosophila-montana	newsearch	tyukmaeva-Oulanka2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Oulanka2	66.3666666667	29.3333333333	global average	5.241935484	115	20.5	6	21.8431394599	2.9130909423	0.025994942	0.0077039093	1	0.0395804831	18.0329157414	0.1942306244	y
b:tyukmaeva-Oulanka3-Drosophila-montana	newsearch	tyukmaeva-Oulanka3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Oulanka3	66.3666666667	29.3333333333	global average	14.51612903	115	20.5	17	18.5381758321	0.4614904164	0.025994942	0.0077039093	1	0.0070280656	18.4648403652	0.033330702	e_only
b:tyukmaeva-Oulanka4-Drosophila-montana	newsearch	tyukmaeva-Oulanka4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Oulanka4	66.3666666667	29.3333333333	global average	28.62903226	115	20.5	33	27.6747688909	4.5382521702	0.025994942	0.0077039093	0.9070153318	0.029846318	19.9047850901	0.0965505555	y
b:tyukmaeva-Paltamo1-Drosophila-montana	newsearch	tyukmaeva-Paltamo1-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Paltamo1	64.4	27.8333333333	global average	3.3333333333	115	20.5	4	68.8838815105	5.3011615591	0.025994942	0.0077039093	0.9829264426	0.0001850719	17.9367799334	0.0360434935	y
b:tyukmaeva-Paltamo2-Drosophila-montana	newsearch	tyukmaeva-Paltamo2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Paltamo2	64.4	27.8333333333	global average	8.3333333333	115	20.5	10	18.704337323	1.8927604603	0.025994942	0.0077039093	1	0.0704309421	17.3030660355	0.2003361816	y
b:tyukmaeva-Paltamo3-Drosophila-montana	newsearch	tyukmaeva-Paltamo3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Paltamo3	64.4	27.8333333333	global average	2.0833333333	115	20.5	2	22.6125824437	2.1726155299	0.025994942	0.0077039093	0.9677469614	0.0133138598	17.2903518148	0.0834447678	y
b:tyukmaeva-Paltamo4-Drosophila-montana	newsearch	tyukmaeva-Paltamo4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Paltamo4	64.4	27.8333333333	global average	0.4166666667	115	20.5	0	39.8087822559	2.3182364051	0.025994942	0.0077039093	0.8918228705	0.0253890921	16.7743703602	0.0558403133	y
b:tyukmaeva-Pelkosenniemi1-Drosophila-montana	newsearch	tyukmaeva-Pelkosenniemi1-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pelkosenniemi1	67.1	27.5	global average	12.109823	115	20.5	14	19.9538502256	0.6005750934	0.025994942	0.0077039093	1	0.0063478549	18.2883792007	0.018878026	e_only
b:tyukmaeva-Pelkosenniemi2-Drosophila-montana	newsearch	tyukmaeva-Pelkosenniemi2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pelkosenniemi2	67.1	27.5	global average	14.13411449	115	20.5	16	34.6888655161	0.6397858482	0.025994942	0.0077039093	0.9665537096	0.0005069123	19.3580012403	0.0147381168	e_only
b:tyukmaeva-Pelkosenniemi3-Drosophila-montana	newsearch	tyukmaeva-Pelkosenniemi3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pelkosenniemi3	67.1	27.5	global average	6.036948501	115	20.5	7	32.9934040547	2.0132360675	0.025994942	0.0077039093	0.9859785847	0.0031612336	18.7596932635	0.0440275151	y
b:tyukmaeva-Pelkosenniemi4-Drosophila-montana	newsearch	tyukmaeva-Pelkosenniemi4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pelkosenniemi4	67.1	27.5	global average	13.32439789	115	20.5	15	29.3529326701	0.8591099443	0.025994942	0.0077039093	0.9806910854	0.0015648625	19.0498559204	0.0254833185	y
b:tyukmaeva-Pudasjärvi1-Drosophila-montana	newsearch	tyukmaeva-Pudasjärvi1-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pudasjärvi1	65.35	26.9833333333	global average	6.7796610169	115	20.5	8	27.9154974174	2.0220576431	0.025994942	0.0077039093	1	0.0034879936	18.0565628077	0.0570794006	y
b:tyukmaeva-Pudasjärvi2-Drosophila-montana	newsearch	tyukmaeva-Pudasjärvi2-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pudasjärvi2	65.35	26.9833333333	global average	2.9661016949	115	20.5	3	44.7681759614	2.4302895969	0.025994942	0.0077039093	0.9475554223	0.0019180648	17.7628636513	0.0162444647	y
b:tyukmaeva-Pudasjärvi3-Drosophila-montana	newsearch	tyukmaeva-Pudasjärvi3-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pudasjärvi3	65.35	26.9833333333	global average	11.8644067797	115	20.5	14	19.1848074514	6.9948534942	0.025994942	0.0077039093	0.9791356355	0.0429622277	16.988736073	0.0796822677	y
b:tyukmaeva-Pudasjärvi4-Drosophila-montana	newsearch	tyukmaeva-Pudasjärvi4-Drosophila-montana	tyukmaeva	2011	Europe	23	Drosophila	montana	diptera	Pudasjärvi4	65.35	26.9833333333	global average	5.0847457627	115	20.5	6	25.1493693722	4.7697493822	0.025994942	0.0077039093	1	0.0095516334	16.7365009022	0.1908478856	y
b:ujiye-Amagi-phyllonorycter-ringoniella	newsearch	ujiye-Amagi-phyllonorycter-ringoniella	ujiye	1985	japan	3	phyllonorycter	ringoniella	lepidoptera	Amagi	33.423411	130.665569	not translated	-0.1951372136	100	14	0	46.0376661201	9.1004434474	0	0.1871975143	0.974785016	0.0210002911	12.525473704	0.2421476119	y
b:ujiye-Hamamatsu-phyllonorycter-ringoniella	newsearch	ujiye-Hamamatsu-phyllonorycter-ringoniella	ujiye	1985	japan	3	phyllonorycter	ringoniella	lepidoptera	Hamamatsu	34.710892	137.726086	not translated	-0.4577902563	100	14	0	43.7304646563	6.5697625558	0	0.1871975143	0.974785016	0.0210002911	12.570331019	0.2359443895	y
b:ujiye-Suzaka-phyllonorycter-ringoniella	newsearch	ujiye-Suzaka-phyllonorycter-ringoniella	ujiye	1985	japan	3	phyllonorycter	ringoniella	lepidoptera	Suzaka	36.647778	138.309722	not translated	-0.1926671223	100	14	0	23.9898332973	7.4370599102	0	0.1871975143	0.974785016	0.0210002911	12.7559865517	0.5378503482	y
b:urbanski-AIZ-Aedes-albopictus	newsearch	urbanski-AIZ-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	AIZ	37.4666666667	139.9333333333	global average	2.1904494532	381	16	8	42.4180107955	7.5955449715	0.027131531	0.0035731318	0.9480590895	0.0194381492	13.7067308811	0.1226610372	y
b:urbanski-BER-Aedes-albopictus	newsearch	urbanski-BER-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	BER	39.7666666667	-74.9833333333	global average	2.6555289058	381	16	10	38.5675304536	5.4980744546	0.027131531	0.0035731318	0.9677281485	0.0132341341	13.3677301524	0.0778563421	y
b:urbanski-BRU-Aedes-albopictus	newsearch	urbanski-BRU-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	BRU	31.1166666667	-81.4666666667	global average	1.7668077042	381	16	7	73.9757090794	21.1306467226	0.027131531	0.0035731318	0.895759343	0.0426236197	12.7779145876	0.0908251004	y
b:urbanski-FAY-Aedes-albopictus	newsearch	urbanski-FAY-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	FAY	35.0166666667	-78.0833333333	global average	0.5214681089	381	16	2	68.8807582099	15.4857155038	0.027131531	0.0035731318	0.891187644	0.0336215019	13.1196051795	0.0371482627	y
b:urbanski-HIR-Aedes-albopictus	newsearch	urbanski-HIR-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	HIR	34.3833333333	132.4666666667	global average	0.0003248536	381	16	0	42.5014877412	7.5841402418	0.027131531	0.0035731318	0.9958246837	0.002359196	13.0003183585	0.0814461795	y
b:urbanski-JACK-Aedes-albopictus	newsearch	urbanski-JACK-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	JACK	30.3166666667	-81.7833333333	global average	10.1473792732	381	16	39	69.6207577039	18.7868351327	0.027131531	0.0035731318	0.6041565481	0.02831765	12.6620692657	0.029890586	y
b:urbanski-KAG-Aedes-albopictus	newsearch	urbanski-KAG-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	KAG	31.55	130.55	global average	1.8080767052	381	16	7	57.8546040251	19.6190369138	0.027131531	0.0035731318	0.9273455806	0.0406585562	13.2168685915	0.1075407747	y
b:urbanski-KHO-Aedes-albopictus	newsearch	urbanski-KHO-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	KHO	37.3666666667	140.3666666667	global average	6.0822898032	381	16	23	66.7991657291	13.0757527592	0.027131531	0.0035731318	0.8068463907	0.0219815637	13.4522915751	0.0564117534	y
b:urbanski-MAN-Aedes-albopictus	newsearch	urbanski-MAN-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	MAN	38.6166666667	-77.4166666667	global average	5.9967585089	381	16	23	39.3611262646	6.47893004	0.027131531	0.0035731318	1	0.0023939642	13.5011665293	0.0927976497	y
b:urbanski-MEL-Aedes-albopictus	newsearch	urbanski-MEL-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	MEL	27.5666666667	-80.3666666667	global average	1.0835913313	381	16	4	33.0249120897	8.1492656133	0.027131531	0.0035731318	0.1417847517	0.0192511231	12.1434631541	0.1787913235	y
b:urbanski-NEW-Aedes-albopictus	newsearch	urbanski-NEW-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	NEW	40.7166666667	-74.0666666667	global average	0	381	16	0	48.1554206877	9.7655688923	0.027131531	0.0035731318	0.9930939011	0.0031576286	13.8852141189	0.126933208	y
b:urbanski-NVA-Aedes-albopictus	newsearch	urbanski-NVA-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	NVA	36.35	-78.3666666667	global average	9.1932997242	381	16	35	37.4873852417	5.7541812078	0.027131531	0.0035731318	0.9931266264	0.0024864275	13.1965892546	0.043325078	y
b:urbanski-OAK-Aedes-albopictus	newsearch	urbanski-OAK-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	OAK	28.85	-80.85	global average	0.9000261774	381	16	3	46.7100310474	16.9192388461	0.027131531	0.0035731318	0.5502576076	0.0258353671	12.345049749	0.0614861593	y
b:urbanski-OKI-Aedes-albopictus	newsearch	urbanski-OKI-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	OKI	26.2166666667	127.9166666667	global average	0.6932409012	381	16	3	46.4417455426	40.4506273146	0.027131531	0.0035731318	0.2812328457	0.0303214342	12.793981554	0.2011636708	y
