row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:hashimoto-Matsuyama-Pieris-rapae	newsearch	hashimoto-Matsuyama-Pieris-rapae	hashimoto	2008	japan	6	Pieris	rapae	lepidoptera	Matsuyama	33.839167	132.765556	global average	-0.3162384637	38	14	0	28.6660794385	4.8135284795	0	0.0010143304	1	0.0026977125	11.6623223373	0.1484523536	y
b:hashimoto-Nagaoka-Pieris-rapae	newsearch	hashimoto-Nagaoka-Pieris-rapae	hashimoto	2008	japan	6	Pieris	rapae	lepidoptera	Nagaoka	37.3833333333	138.838889	global average	0.4901960784	38	14	0	200.1261571948	26.3482543238	0	0.0010143304	0.9217736518	0.0552560587	13.0890934334	0.0196237462	y
b:hashimoto-Naze-Pieris-rapae	newsearch	hashimoto-Naze-Pieris-rapae	hashimoto	2008	japan	6	Pieris	rapae	lepidoptera	Naze	28.377247	129.493742	global average	0	38	14	0	29.0117701853	1.5205236843	0	0.0010143304	1	0.002064432	11.1707443505	0.0274654586	y
b:hashimoto-Okayama-Pieris-rapae	newsearch	hashimoto-Okayama-Pieris-rapae	hashimoto	2008	japan	6	Pieris	rapae	lepidoptera	Okayama	34.655278	133.919444	global average	0	38	14	0	40.3248495283	5.6106329418	0	0.0010143304	1	0.0036789004	12.014658896	0.050953306	y
b:hashimoto-Sendai-Pieris-rapae	newsearch	hashimoto-Sendai-Pieris-rapae	hashimoto	2008	japan	6	Pieris	rapae	lepidoptera	Sendai	38.25	140.869444	global average	0.545366433	38	14	0	70.2443633216	6.4424976127	0	0.0010143304	1	0.0019930196	13.2090992168	0.0199077562	y
b:ito-HA-Orius-sauteri	newsearch	ito-HA-Orius-sauteri	ito	2000	japan	4	Orius	sauteri	hemiptera	HA	39.388611	141.116944	accurate	4.2610695802	25	16	1	69.4288143945	7.237460592	0.0030884357	0.0025761426	0.9963771467	0.000106847	13.3654666089	0.0233999297	y
b:ito-MO-Orius-sauteri	newsearch	ito-MO-Orius-sauteri	ito	2000	japan	4	Orius	sauteri	hemiptera	MO	42.1	140.583333	accurate	3.2602917725	41	16	1	105.1841305394	1.7303187825	0.0287293279	0.0032555107	0.9963771467	0.000106847	14.1828439709	0.0026386072	b_only
b:ito-TU-Orius-sauteri	newsearch	ito-TU-Orius-sauteri	ito	2000	japan	4	Orius	sauteri	hemiptera	TU	36.080556	140.114722	accurate	12.1546961326	50	16	6	45.2242911154	1.4027681974	0.1417473826	0.0120214729	0.9963771467	0.000106847	12.8761232858	0.010598697	y
b:ito-WA-Orius-sauteri	newsearch	ito-WA-Orius-sauteri	ito	2000	japan	4	Orius	sauteri	hemiptera	WA	45.3975	141.700881	accurate	0.546561711	36	16	0	120.7327015906	4.9344592309	0	0.0027537431	0.9963771467	0.000106847	14.8749759387	0.0043664165	b_only
b:kimura_geogr_1-IW-Drosophila-auraria	newsearch	kimura_geogr_1-IW-Drosophila-auraria	kimura_geogr_1	1984	japan	5	Drosophila	auraria	diptera	IW	38.104278	140.87016	global average	54.3605361608	110	10	60	44.0194825892	9.2655449128	0	0.0004340277	0.531016469	0.0225669838	11.6973032007	0.108417144	y
b:kimura_geogr_1-KO-Drosophila-auraria	newsearch	kimura_geogr_1-KO-Drosophila-auraria	kimura_geogr_1	1984	japan	5	Drosophila	auraria	diptera	KO	44.774361	142.254389	global average	51.6759724024	110	10	57	67.3305097824	12.6513530649	0	0.0004340277	0.4741762532	0.0217526996	13.2108144918	0.0541656628	y
b:kimura_geogr_1-OI-Drosophila-auraria	newsearch	kimura_geogr_1-OI-Drosophila-auraria	kimura_geogr_1	1984	japan	5	Drosophila	auraria	diptera	OI	33.233333	131.606667	global average	19.1275167785	110	10	21	66.7764700878	6.5330143852	0	0.0004340277	0.1883887844	0.0036029108	11.6515664744	0.0275140654	y
b:kimura_geogr_1-ON-Drosophila-auraria	newsearch	kimura_geogr_1-ON-Drosophila-auraria	kimura_geogr_1	1984	japan	5	Drosophila	auraria	diptera	ON	41.972	140.6691	global average	77.5148985769	110	10	85	44.8685875819	2.6992565645	0	0.0004340277	0.78288983	0.0111261313	12.4680844389	0.0339031763	y
b:kimura_geogr_1-TS-Drosophila-auraria	newsearch	kimura_geogr_1-TS-Drosophila-auraria	kimura_geogr_1	1984	japan	5	Drosophila	auraria	diptera	TS	36.321889	139.003278	global average	41.6144981483	110	10	46	41.6614165908	7.9483710998	0	0.0004340277	0.4124389833	0.0093688813	11.4814806497	0.0887902396	y
b:kimura_geogr_2-IW-Drosophila-triauraria	newsearch	kimura_geogr_2-IW-Drosophila-triauraria	kimura_geogr_2	1984	japan	4	Drosophila	triauraria	diptera	IW	38.104278	140.87016	global average	69.3548387097	110	10	76	75.7483435546	4.0965174021	0.0419228795	0.0048738646	0.6893135645	0.0032279437	12.2188774647	0.0074695548	y
b:kimura_geogr_2-KG-Drosophila-triauraria	newsearch	kimura_geogr_2-KG-Drosophila-triauraria	kimura_geogr_2	1984	japan	4	Drosophila	triauraria	diptera	KG	31.6	130.55	global average	47.7419354839	110	10	53	20.2587462494	7.2135230714	0.0419228795	0.0048738646	0.5829297	0.183973966	10.7337593966	0.7246418277	y
b:kimura_geogr_2-OI-Drosophila-triauraria	newsearch	kimura_geogr_2-OI-Drosophila-triauraria	kimura_geogr_2	1984	japan	4	Drosophila	triauraria	diptera	OI	33.233333	131.606667	global average	62.9032258065	110	10	69	99.948255336	31.5967851749	0.0419228795	0.0048738646	0.4955915946	0.0992659591	12.1911026669	0.107354167	y
b:kimura_geogr_2-ON-Drosophila-triauraria	newsearch	kimura_geogr_2-ON-Drosophila-triauraria	kimura_geogr_2	1984	japan	4	Drosophila	triauraria	diptera	ON	41.972	140.6691	global average	75.4838709677	110	10	83	79.6924905543	32.5945566731	0.0419228795	0.0048738646	0.8634168435	0.0781128185	12.7707277863	0.0427743641	y
b:kimura_geogr_3-IW-Drosophila-subauraria	newsearch	kimura_geogr_3-IW-Drosophila-subauraria	kimura_geogr_3	1984	japan	3	Drosophila	subauraria	diptera	IW	38.104278	140.87016	global average	99.6664913006	110	10	110	32.9361003949	3.3871834757	0	0.0007175814	1	0.00403336	12.6581956282	0.0308906244	y
b:kimura_geogr_3-KT-Drosophila-subauraria	newsearch	kimura_geogr_3-KT-Drosophila-subauraria	kimura_geogr_3	1984	japan	3	Drosophila	subauraria	diptera	KT	39.28675	141.113222	global average	99.6664913006	110	10	110	45.0081183624	12.3189404533	0	0.0007175814	1	0.00403336	13.1267830474	0.0647714866	y
b:kimura_geogr_3-ON-Drosophila-subauraria	newsearch	kimura_geogr_3-ON-Drosophila-subauraria	kimura_geogr_3	1984	japan	3	Drosophila	subauraria	diptera	ON	41.972	140.6691	global average	99.6664913006	110	10	110	27.5339667359	3.1764654026	0	0.0007175814	1	0.00403336	13.4780295093	0.0830796522	y
b:koveos-Aile-froide-Tetranychus-urticae	newsearch	koveos-Aile-froide-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	Aile-froide	44.885	6.356111	global average	4.8623966432	250	17	12	75.1555461703	13.3471633343	0.0465758361	0.0077875363	1	0.0016725234	14.75123732	0.0716129847	y
b:koveos-leningrad-Tetranychus-urticae	newsearch	koveos-leningrad-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	leningrad	59.933333	30.266667	global average	5.4023889961	250	18	14	142.2461182205	31.9752249046	0.0465758361	0.0077875363	0.9857081344	0.0031657224	16.3080542383	0.0197512612	y
b:koveos-padua-Tetranychus-urticae	newsearch	koveos-padua-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	padua	45.408056	11.872222	global average	4.3750975191	250	14.5	11	118.5167735088	205.9338543506	0.0465758361	0.0077875363	1	0.0028131117	12.5753697706	0.1634622965	y
b:koveos-Thessaloniki1-Tetranychus-urticae	newsearch	koveos-Thessaloniki1-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	Thessaloniki1	40.647222	22.963889	global average	4.4520547945	250	13	11	96.2132742001	9.8718328378	0.0465758361	0.0077875363	0.959367859	0.0020724431	10.8600329788	0.0104178093	y
b:koveos-Thessaloniki2-Tetranychus-urticae	newsearch	koveos-Thessaloniki2-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	Thessaloniki2	40.647222	22.963889	global average	4.7619047619	250	17	12	74.512896498	23.6095941673	0.0465758361	0.0077875363	0.772572332	0.0131852553	11.0121289155	0.028441183	y
b:koveos-Voorne-Tetranychus-urticae	newsearch	koveos-Voorne-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	Voorne	51.816667	4.183333	global average	4.7326033843	250	18	12	108.248010731	13.9799722519	0.0465758361	0.0077875363	0.9954655675	0.0014787097	14.0242066756	0.0200546682	y
