"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"39" "bradshaw.DL.Wyeomyia.smithii" "smithii" "Diptera" 0.878934050746939 0.916048105910524 0.832750788484094 1.08016364236212 0.00693844309043944
"40" "bradshaw.GS.Wyeomyia.smithii" "smithii" "Diptera" 0.900953586956821 0.923087484793904 0.874084352707917 1.56201428556444 0.00240130695423669
"41" "bradshaw.HK.Wyeomyia.smithii" "smithii" "Diptera" 0.926256764342516 0.943535959495362 0.904449543693363 1.74466138726578 0.00152774790024676
"42" "bradshaw.HV.Wyeomyia.smithii" "smithii" "Diptera" 0.859014045708463 0.891097669000997 0.822752885982995 1.36900672668113 0.00467100936577777
"43" "bradshaw.KC.Wyeomyia.smithii" "smithii" "Diptera" 0.852241589254096 0.888430527744375 0.809912126449249 1.26945059823134 0.00616513934194244
"44" "bradshaw.LI.Wyeomyia.smithii" "smithii" "Diptera" 0.897362160417029 0.941285056325466 0.840682099714503 1.59192227187216 0.0101209548788673
"45" "bradshaw.ML.Wyeomyia.smithii" "smithii" "Diptera" 0.838101048674077 0.873612464398184 0.799426484080644 1.27418638164109 0.00550355967567443
"46" "bradshaw.MM.Wyeomyia.smithii" "smithii" "Diptera" 0.899430278610668 0.927419272026746 0.862820955354178 1.34323693106332 0.00417294251692938
"47" "bradshaw.NP.Wyeomyia.smithii" "smithii" "Diptera" 0.939020745511433 0.954704176383251 0.917857858654294 1.23534518455243 0.00135765113018325
"48" "bradshaw.PB.Wyeomyia.smithii" "smithii" "Diptera" 0.909917320595203 0.935335341948119 0.877198067258599 1.23556269900891 0.0033799427083247
"49" "bradshaw.PM.Wyeomyia.smithii" "smithii" "Diptera" 0.914065264883687 0.933514490710662 0.888856682163627 1.78186690127048 0.00199431986422363
"50" "bradshaw.TH.Wyeomyia.smithii" "smithii" "Diptera" 0.834851689288789 0.877126809446532 0.788528980172618 1.02364356422885 0.00784957535204962
"51" "bradshaw.WI.Wyeomyia.smithii" "smithii" "Diptera" 0.868519228924359 0.920799263278785 0.791091537769717 1.60391219822742 0.0168240940567357
"52" "ichijo.HA.Drosophila.lacertosa" "lacertosa" "Diptera" 0.72143606719202 0.815977535488706 0.602692070190946 0.908567127050089 0.045490689707282
"53" "ichijo.MA.Drosophila.lacertosa" "lacertosa" "Diptera" 0.713503358399909 0.802672611622114 0.585688835853218 0.913243396372348 0.0470819589469266
"54" "ichijo.MM.Drosophila.lacertosa" "lacertosa" "Diptera" 0.619810014361476 0.747510855006535 0.482495428728704 0.902034339215709 0.0702331761652205
"55" "ichijo.MY.Drosophila.lacertosa" "lacertosa" "Diptera" 0.494461438365208 0.818154593194864 0.310971185835302 0.820148937226791 0.257235008700855
"56" "ichijo.OM.Drosophila.lacertosa" "lacertosa" "Diptera" 0.471715250791586 0.568526524094348 0.409820237156983 0.905041620770051 0.0251876855134452
"57" "ichijo.ON.Drosophila.lacertosa" "lacertosa" "Diptera" 0.820770322423416 0.883757595556375 0.739661133049684 0.871795274288555 0.0207637905069422
"58" "ichijo.SA.Drosophila.lacertosa" "lacertosa" "Diptera" 0.68281281800831 0.730519251443733 0.621542364685197 0.913486436156404 0.0118759618475828
"59" "ichijo.WA.Drosophila.lacertosa" "lacertosa" "Diptera" 0.832773575285929 0.891833568950908 0.750403653184865 0.877183402617868 0.02000242107359
"60" "jordan.33.Aedes.sierrensis" "sierrensis" "Diptera" 0.0734758648735321 0.178545112100169 0.00367480094342073 1.54063472329088 0.030579625724058
"61" "jordan.36.Aedes.sierrensis" "sierrensis" "Diptera" 0.482801013384999 0.651982551313608 0.305520498619739 1.25068725257904 0.120035953956849
"62" "jordan.39.Aedes.sierrensis" "sierrensis" "Diptera" 0.668510478562705 0.833883396618963 0.452953418041105 1.40493239305524 0.145107648579327
"63" "jordan.42.Aedes.sierrensis" "sierrensis" "Diptera" 0.915551090799451 0.979826646787667 0.778809464102755 2.14073077441578 0.0404079077345793
"64" "jordan.45.Aedes.sierrensis" "sierrensis" "Diptera" 0.560959982937825 0.817325675394766 0.331900192648682 1.04531690745607 0.235637899299269
"65" "kimura.IW.Drosophila.auraria" "auraria" "Diptera" 0.610044150235079 0.709983664235153 0.503054305002554 0.838539283908066 0.042819759712414
